latitude,longitude,year,month_name,rainfall_mm,lta_mm,anomaly_mm,anomaly_pct,rainy_days,max_dry_spell_days,mean_annual_lta,spi,drought_category
14.292797576724562,-0.46053660632118537,1981,Jan,0.0,0.0,0.0,0.0,0,31,450,0.0,Normal
14.062407456176974,-0.6376021918655189,1981,Feb,0.0,0.0,0.0,0.0,0,30,450,0.0,Normal
14.283229031118417,-0.6917662022816791,1981,Mar,1.5,2.2,-0.8,-34.8,0,13,450,-1.35,Modérée
14.07272998688284,-0.6266381960586265,1981,Apr,12.5,9.0,3.5,38.8,0,5,450,1.64,Excédentaire
14.116491656079216,-0.4552588421110482,1981,May,23.0,27.0,-4.0,-14.9,0,8,450,-0.35,Normal
14.182427993686813,-0.3859296154427945,1981,Jun,42.0,58.5,-16.5,-28.2,1,3,450,-1.08,Modérée
14.018580165087998,-0.45698205923942464,1981,Jul,79.3,103.5,-24.2,-23.4,2,7,450,-1.16,Modérée
14.386252813229824,-0.3766410607534155,1981,Aug,96.9,130.5,-33.6,-25.7,5,23,450,-0.8,Normal
14.17606099749584,-0.6511847060620884,1981,Sep,68.9,81.0,-12.1,-14.9,3,9,450,-0.67,Normal
14.103511992640007,-0.4349910862584072,1981,Oct,36.2,36.0,0.2,0.5,1,30,450,-0.22,Normal
14.07394178221021,-0.31216614889417654,1981,Nov,3.9,4.5,-0.6,-14.3,0,11,450,-0.58,Normal
14.310053129344444,-0.32420042337432436,1981,Dec,0.0,0.0,0.0,0.0,0,30,450,0.0,Normal
14.368749694009246,-0.6646029991792322,1982,Jan,0.0,0.0,0.0,0.0,0,31,450,0.0,Normal
14.078393144967658,-0.6819090844357848,1982,Feb,0.0,0.0,0.0,0.0,0,30,450,0.0,Normal
14.331495003660772,-0.5572986693225643,1982,Mar,2.1,2.2,-0.2,-7.2,0,5,450,-0.24,Normal
14.320878792301615,-0.6701797425280916,1982,Apr,8.0,9.0,-1.0,-11.1,0,5,450,-0.78,Normal
14.00220884684944,-0.3738154286180663,1982,May,40.5,27.0,13.5,49.8,1,5,450,2.02,Excédentaire
14.029617860693635,-0.556613708582291,1982,Jun,73.5,58.5,15.0,25.7,2,11,450,1.2,Excédentaire
14.13235920994106,-0.6745766598855906,1982,Jul,77.3,103.5,-26.2,-25.3,2,7,450,-1.24,Modérée
14.255022988542084,-0.3451149029694694,1982,Aug,119.4,130.5,-11.1,-8.5,5,10,450,-0.16,Normal
14.304314019446759,-0.47548912097220153,1982,Sep,85.4,81.0,4.4,5.4,4,9,450,0.25,Normal
14.17101640734342,-0.6898323493023619,1982,Oct,47.2,36.0,11.2,31.2,1,11,450,1.19,Excédentaire
14.12574239243053,-0.4965717235341189,1982,Nov,3.3,4.5,-1.2,-26.0,0,15,450,-1.16,Modérée
14.363026589570437,-0.6002831083404501,1982,Dec,0.0,0.0,0.0,0.0,0,30,450,0.0,Normal
14.030791963931517,-0.5840994188344928,1983,Jan,0.0,0.0,0.0,0.0,0,31,450,0.0,Normal
14.064488514901601,-0.32812093906297074,1983,Feb,0.0,0.0,0.0,0.0,0,30,450,0.0,Normal
14.321468830759645,-0.6253719764455856,1983,Mar,2.6,2.2,0.4,15.9,0,30,450,0.68,Normal
14.358436519969397,-0.5727986100112544,1983,Apr,11.0,9.0,2.0,22.2,0,24,450,0.83,Normal
14.327205906368997,-0.3557077666974626,1983,May,17.3,27.0,-9.7,-36.0,0,8,450,-1.12,Modérée
14.08884312418829,-0.6520538530665269,1983,Jun,32.9,58.5,-25.6,-43.7,1,4,450,-1.74,Sévère
14.207516248697345,-0.4187924164419289,1983,Jul,83.8,103.5,-19.7,-19.1,2,3,450,-0.98,Normal
14.100712918330146,-0.5011005976430458,1983,Aug,108.1,130.5,-22.4,-17.1,3,25,450,-0.48,Normal
14.243825733591958,-0.4989283907084554,1983,Sep,63.3,81.0,-17.7,-21.8,2,2,450,-0.98,Normal
14.095824756266788,-0.6420420511635108,1983,Oct,21.5,36.0,-14.5,-40.4,0,30,450,-2.09,Extrême
